"Palay and Corn: Volume of Production by Ecosystem/Croptype, by Quarter, by Semester, by Region and by Province, 1987-2023 by Ecosystem/Croptype, Geolocation, Year and Period",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecosystem/Croptype,Geolocation,2013 Quarter 1,2013 Quarter 2,2013 Quarter 3,2013 Quarter 4,2014 Quarter 1,2014 Quarter 2,2014 Quarter 3,2014 Quarter 4,2015 Quarter 1,2015 Quarter 2,2015 Quarter 3,2015 Quarter 4,2016 Quarter 1,2016 Quarter 2,2016 Quarter 3,2016 Quarter 4,2017 Quarter 1,2017 Quarter 2,2017 Quarter 3,2017 Quarter 4,2018 Quarter 1,2018 Quarter 2,2018 Quarter 3,2018 Quarter 4,2019 Quarter 1,2019 Quarter 2,2019 Quarter 3,2019 Quarter 4,2020 Quarter 1,2020 Quarter 2,2020 Quarter 3,2020 Quarter 4,2021 Quarter 1,2021 Quarter 2,2021 Quarter 3,2021 Quarter 4,2022 Quarter 1,2022 Quarter 2,2022 Quarter 3,2022 Quarter 4
Irrigated Palay,..CORDILLERA ADMINISTRATIVE REGION (CAR),53933,133461,59099,148178,56330,135781,56933,140688,56261,135677,55769,98140,52005,133546,53686,95257,58368,148175,53072,129943,58732,140522,51807.68,98223.3,57135,128631.14,58360.72,119245.5,30845.73,107824.42,86947.66,90826.74,34528.78,110046.21,61484.82,111118.45,27974.61,105528.27,49979,105080.28
Irrigated Palay,..REGION I (ILOCOS REGION),304800,124165,102304,738768,314274,142898,107841,740451,325964,140993,86447,737171,315544,140174,123984,725491,331323,159542,140794,728545,328028,160879,129692,636634.52,328555,158805,157190,705162,330328.85,163467,161482,729834,321291,186987.6,149625,721837,323889,182757.27,162454,735974.57
Irrigated Palay,..REGION II (CAGAYAN VALLEY),636359,505349.43,326952,756561,519271.95,655432.2,355248.65,780344.35,564004.9,688610.44,202784,847774,508612,755479.1,254639,663009,526845,804477,298780,798930,634708,684147,174579,666273,565534,692775.68,324752,879097,534440,748534,331399,835265,562062.62,884539.92,387499.99,846556,558584.56,881521.4,420627.14,829067.72
Irrigated Palay,..REGION III (CENTRAL LUZON),664331,1020117,276952,1132362,706483,1140807,199628,1376135,724659,1147033,148120,1039968,638818,1161159.12,199864,1114999,670101,1116627,279782,1276284,674975,1127303,268873.71,1275013.29,726041.19,1127562.64,336325.09,1314708.4,659495.67,1101887.33,322867.81,1337142.73,695626.5,1033118.07,377226.39,1449292.27,768658.28,1133641.14,312055.73,1282095.9
Rainfed Palay,..CORDILLERA ADMINISTRATIVE REGION (CAR),2336,3357,12037,47769,2512,3404,9549,47412,2673,3523,8342,40526,1997,3749,5891,36717,1472,3924,5886,44166,687,3599,2385,35148.62,608,1238,4673.22,48429,50.6,4941.62,8207.6,46829.11,585.64,2868.7,5954.83,50545.92,885.52,3577.74,8293.39,36748.65
Rainfed Palay,..REGION I (ILOCOS REGION),1695,0,25165,453160,1976,0,19550,469239,1841,0,12516,472189,1952,0,28149,469832,1466,0,29031,481351,1201,0,22773,440836,1495,0,29075,470983.37,1092,0,27534,488924,1068,0,27538,493996,2522,0,29747.6,528027.93
Rainfed Palay,..REGION II (CAGAYAN VALLEY),82984,40610.18,3652.72,70732,91483,30779.8,518.22,81856,83860,49994.11,1520.83,51099,71465,38188.7,2041,39220.24,67887,84609.36,3644.95,71805.2,90515.04,70058.42,1756.58,57734.38,55090.47,50944.7,4292.15,72216.34,60210.96,62111,5383.25,68433.57,68629.94,71961.32,3403.65,85297.04,57732.62,63691.46,6233.17,110707.63
Rainfed Palay,..REGION III (CENTRAL LUZON),5045,1551,7543,301567,5249,1620,4121,331107,6463,1642,6394,230031,2397,1388,6748,217510,4121,2827,7914,277151,4582,1604,5969.4,256794.72,3831.98,810,10389.24,210511.79,3862,834,29234.1,179823.95,3417,8572.8,23753.76,150203.74,4197,1246,21136.84,93681.5
Palay,..CORDILLERA ADMINISTRATIVE REGION (CAR),56269,136818,71136,195947,58842,139185,66482,188100,58934,139200,64111,138666,54002,137295,59577,131974,59840,152099,58958,174109,59419,144121,54192.68,133371.92,57743,129869.14,63033.94,167674.5,30896.33,112766.04,95155.26,137655.85,35114.42,112914.91,67439.65,161664.37,28860.12,109106.01,58272.38,141828.93
Palay,..REGION I (ILOCOS REGION),306495,124165,127469,1191928,316250,142898,127391,1209690,327805,140993,98963,1209360,317496,140174,152133,1195323,332789,159542,169825,1209896,329229,160879,152465,1077470.52,330050,158805,186265,1176145.37,331420.85,163467,189016,1218758,322359,186987.6,177163,1215833,326411,182757.27,192201.6,1264002.5
Palay,..REGION II (CAGAYAN VALLEY),719343,545959.61,330604.72,827293,610754.95,686212,355766.87,862200.35,647864.9,738604.55,204304.83,898873,580077,793667.8,256680,702229.24,594732,889086.36,302424.95,870735.2,725223.04,754205.42,176335.58,724007.38,620624.47,743720.38,329044.15,951313.34,594650.96,810645,336782.25,903698.57,630692.56,956501.24,390903.64,931853.04,616317.18,945212.86,426860.31,939775.35
Palay,..REGION III (CENTRAL LUZON),669376,1021668,284495,1433929,711732,1142427,203749,1707242,731122,1148675,154514,1269999,641215,1162547.12,206612,1332509,674222,1119454,287696,1553435,679557,1128907,274843.11,1531808.01,729873.17,1128372.64,346714.33,1525220.19,663357.67,1102721.33,352101.91,1516966.68,699043.5,1041690.87,400980.15,1599496.01,772855.28,1134887.14,333192.57,1375777.4
